year,abundance
units,count / sampling-day
extent,FKNMS
1994,2.272727272727273
1995,1.1
1996,3.142857142857143
1997,3.0
1998,4.444444444444445
1999,3.4423076923076925
2000,5.9411764705882355
2001,5.25
2002,6.975
2003,4.2
2004,15.5
2005,4.621621621621622
2006,8.5
2007,5.515151515151516
2008,10.211538461538462
2009,3.977777777777778
2010,7.576923076923077
2011,8.45
2012,12.01639344262295
2014,8.830188679245284
2016,4.688888888888889
