year,abundance
units,count / sampling-day
extent,FKNMS
1994,5.0
1995,2.5
1996,4.0
1997,1.8125
1998,4.666666666666667
1999,10.571428571428571
2000,9.8
2001,4.3478260869565215
2002,4.384615384615385
2003,4.766666666666667
2004,20.34285714285714
2005,3.3214285714285716
2006,11.813953488372093
2007,2.838709677419355
2008,13.0
2009,4.1063829787234045
2010,9.068965517241379
2011,3.40625
2012,21.446428571428573
2014,16.3
2016,15.44186046511628
